Symbol,LTP,Change(%),Delivery(%)
LTGILTBEES,26.89,0.11,97.11
LIQUIDCASE,104.52,0.03,91.83
GOLDCASE,12.09,0.25,88.41
LIQUIDBEES,1000.01,0.0,87.58
TATAGOLD,7.49,0.4,86.8
PVTBANIETF,27.18,-0.26,86.11
TATSILV,8.94,0.22,85.71
MAHKTECH,14.57,2.03,82.42
GOLDBEES,63.76,0.16,82.02
CPSEETF,100.85,-0.7,80.25
SMALLCAP,53.19,-0.58,74.63
OILIETF,12.79,-0.54,74.38
METALIETF,9.73,-0.71,68.22
GROWWEV,34.87,0.2,67.85
PSUBNKBEES,74.65,-0.64,67.51
SILVERBEES,88.41,0.34,67.08
ITBEES,45.21,0.8,66.61
NIFTYBEES,290.05,-0.01,66.11
MON100,162.08,0.43,62.9
PHARMABEES,23.7,-0.13,56.35
