Symbol,LTP,Change(%),Delivery(%)
PNB,105.22,-1.86,66.38
NTPC,440.8,-0.54,54.78
SUZLON,79.85,-0.25,54.0
GAIL,240.18,-0.05,50.25
IDFCFIRSTB,73.4,-1.28,45.28
ZOMATO,274.45,0.42,44.05
JIOFIN,349.9,-0.2,42.38
IOC,179.2,-0.53,42.19
TATASTEEL,166.7,-1.1,42.05
IRFC,155.5,-2.03,42.03
FEDERALBNK,197.3,0.29,40.58
NHPC,95.08,0.14,39.36
YESBANK,22.41,-0.31,37.94
CANBK,110.55,-0.7,37.92
IDEA,10.19,-1.64,37.54
VEDL,516.7,0.79,36.68
NMDC,244.0,-0.37,33.0
TATAPOWER,481.0,-0.33,29.03
SAIL,140.89,-0.33,24.32
PAYTM,728.0,5.77,22.37
