Company Symbol,Book Value (TTM),CASH,Cash/Debt,Company Name,DEBT,Div. Yield,EPS (TTM),Enterprise Value,Face Value,Market Cap,No. of Shares,P/B,P/E,Profit Growth,Promoter Holding,ROCE,ROE,Sales Growth,Weightage
HAL,455.79,26421.84,26372.82,Hindustan Aeronautics Ltd.,49.02,0.76,122.86,283687.99,5.0,310060.81,66.88,10.17,37.74,30.7,71.64,38.9,28.9,12.82,34.66
BEL,23.06,10968.1,10968.1,Bharat Electronics Ltd.,0.0,0.74,5.84,206899.86,1.0,217867.96,730.98,12.92,51.08,33.7,51.14,36.04,27.1,14.3,24.35
SOLARINDS,280.77,65.18,-247.3,Solar Industries India Ltd.,312.48,0.08,72.17,96148.66,2.0,95901.36,9.05,37.75,146.84,33.88,73.15,34.23,28.99,10.68,10.72
MAZDOCK,309.22,13286.42,13286.42,Mazagoan Dock Shipbuilders Ltd.,0.0,0.65,110.31,72977.4,10.0,86263.82,20.17,13.83,38.77,82.91,84.83,38.42,28.61,36.52,9.64
COCHINSHIP,197.91,4671.81,4545.99,Cochin Shipyard Ltd.,125.82,0.5,33.62,47209.9,5.0,51755.88,26.31,9.94,58.51,42.98,72.86,10.85,7.62,26.94,5.79
BDL,99.41,3858.86,3854.8,Bharat Dynamics Ltd.,4.06,0.41,15.77,43906.46,5.0,47761.26,36.66,13.11,82.62,29.55,74.93,15.69,11.35,11.64,5.34
GRSE,153.7,3720.34,3664.76,Garden Reach Shipbuilders & Engineers Ltd.,55.58,0.53,32.11,16977.52,10.0,20642.27,11.46,11.72,56.13,56.61,74.5,28.88,23.14,40.27,2.31
DATAPATTNS,242.39,392.69,392.69,Data Patterns (India) Ltd.,0.0,0.23,33.7,15204.16,2.0,15596.85,5.6,11.49,82.68,46.54,42.41,20.19,14.59,14.63,1.74
ZENTEC,168.84,142.2,142.2,Zen Technologies Ltd.,0.0,0.06,17.3,15278.49,1.0,15420.69,9.03,10.12,98.71,243.36,55.07,47.87,33.72,166.53,1.72
ASTRAMICRO,102.52,126.13,-99.93,Astra Microwave Products Ltd.,226.06,0.23,12.9,8597.03,2.0,8497.1,9.49,8.73,69.35,47.42,6.54,18.02,13.94,12.01,0.95
MIDHANI,70.7,14.42,-372.93,Mishra Dhatu Nigam Ltd.,387.35,0.85,4.15,7992.06,10.0,7619.12,18.73,5.75,97.9,11.59,74.0,15.55,12.59,1.45,0.85
MTARTECH,221.62,50.66,-139.57,MTAR Technologies Ltd.,190.23,0.0,13.33,5823.94,10.0,5684.37,3.08,8.34,138.65,45.94,36.42,11.7,8.67,1.17,0.64
PARAS,107.87,37.11,37.11,Paras Defence and Space Technologies Ltd.,0.0,0.0,11.25,4638.99,10.0,4676.11,3.9,11.12,106.54,33.52,58.94,14.63,10.16,19.04,0.52
DCXINDIA,100.86,591.42,87.71,DCX Systems Ltd.,503.71,0.0,5.63,3693.31,2.0,3781.01,11.14,3.37,60.25,9.75,59.78,13.2,21.04,13.73,0.42
IDEAFORGE,152.39,268.38,268.38,Ideaforge Technology Ltd.,0.0,0.0,7.09,2850.93,10.0,3119.31,4.3,4.76,102.25,49.57,29.33,12.88,10.1,70.43,0.35
