Company Name,Industry,Symbol,Series,ISIN Code
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
