Company Symbol,Book Value (TTM),CASH,Cash/Debt,Company Name,DEBT,Div. Yield,EPS (TTM),Enterprise Value,Face Value,Market Cap,No. of Shares,P/B,P/E,Profit Growth,Promoter Holding,ROCE,ROE,Sales Growth,Weightage
HINDZINC,41.63,173.0,-8682.0,Hindustan Zinc Ltd.,8855.0,2.54,19.35,224680.31,2.0,215998.31,422.53,12.28,26.42,25.98,64.92,45.95,55.28,15.14,5.36
LODHA,169.55,2499.7,-6100.9,Macrotech Developers Ltd.,8600.6,0.16,15.01,144379.61,10.0,138278.71,99.52,8.19,92.54,155.22,72.13,8.96,8.18,2.54,3.43
JSWENERGY,116.25,830.52,-6174.46,JSW Energy Ltd.,7004.98,0.26,5.94,143182.03,10.0,137007.57,174.78,6.74,132.01,33.64,69.32,7.9,6.64,10.63,3.4
CGPOWER,22.67,781.14,778.45,CG Power and Industrial Solutions Ltd.,2.69,0.17,6.83,117809.3,2.0,118587.75,152.85,34.22,113.54,27.89,58.09,45.47,35.56,15.66,2.94
RVNL,38.78,2997.13,-3007.55,Rail Vikas Nigam Ltd.,6004.68,0.4,6.46,112710.88,10.0,109703.33,208.5,13.57,81.43,15.38,72.84,18.73,20.39,7.15,2.72
SOLARINDS,280.77,65.18,-247.3,Solar Industries India Ltd.,312.48,0.07,72.17,105594.92,2.0,105347.62,9.05,41.46,161.31,33.88,73.15,34.23,28.99,10.68,2.62
CUMMINSIND,237.48,1504.66,1404.66,Cummins India Ltd.,100.0,1.01,63.66,102925.1,2.0,104329.76,27.72,15.85,59.12,46.98,51.0,36.22,28.8,15.68,2.59
INDUSTOWER,99.86,58.0,-4253.8,Indus Towers Ltd.,4311.8,0.0,25.08,107445.54,10.0,103191.74,263.82,3.92,15.6,195.65,52.01,34.91,25.08,0.77,2.56
LUPIN,468.7,138.64,120.51,Lupin Ltd.,18.13,0.36,60.03,101193.48,2.0,101313.99,45.61,4.74,37.0,447.05,46.98,14.33,12.0,30.27,2.52
POLYCAB,562.67,307.95,307.95,Polycab India Ltd.,0.0,0.45,116.69,100241.05,10.0,100549.0,15.04,11.88,57.3,39.45,65.02,32.8,24.16,29.74,2.5
GMRINFRA,50.52,40.7,-7647.18,GMR Airports Infrastructure Ltd.,7687.88,0.0,0.11,107450.62,1.0,99803.44,1055.9,1.87,0.0,54.18,59.07,0.67,1.25,31.92,2.48
BHEL,70.76,6157.47,-2650.53,Bharat Heavy Electricals Ltd.,8808.0,0.09,0.36,100896.95,2.0,98246.42,348.21,3.99,0.0,58.37,63.17,3.28,1.05,2.26,2.44
OFSS,759.43,3287.6,3287.6,Oracle Financial Services Software Ltd.,0.0,2.15,243.12,93761.04,5.0,97048.64,8.67,14.73,46.02,14.41,72.71,43.29,34.07,12.43,2.41
UNIONBANK,126.71,0,0,Union Bank of India,0,2.84,18.46,0,10.0,96946.79,763.36,1.0,6.88,61.84,74.76,21.3,16.69,0,2.41
HDFCAMC,352.28,0,0,HDFC Asset Management Company Ltd.,0,1.57,97.01,0,5.0,95512.12,21.36,12.69,46.09,36.66,52.52,37.72,30.13,19.27,2.37
OIL,283.61,3070.17,-8270.81,Oil India Ltd.,11340.98,2.5,33.23,102402.6,10.0,94131.79,162.66,2.04,17.41,18.48,56.66,14.86,14.15,3.03,2.34
NHPC,38.06,992.51,-28398.48,NHPC Ltd.,29390.99,2.03,3.43,121736.94,10.0,93338.46,1004.5,2.44,27.1,2.34,67.4,7.71,10.3,9.78,2.32
GODREJPROP,395.44,2215.39,-7727.76,Godrej Properties Ltd.,9943.15,0.0,33.6,100251.54,5.0,92523.78,27.81,8.41,99.03,13.93,58.48,5.96,5.52,15.2,2.3
TORNTPOWER,270.73,310.93,-9392.59,Torrent Power Ltd.,9703.52,0.85,47.7,100080.17,10.0,90687.58,48.06,6.97,39.56,14.53,53.57,15.69,15.6,5.95,2.25
HINDPETRO,197.83,352.35,-59901.34,Hindustan Petroleum Corporation Ltd.,60253.69,7.55,41.57,148716.65,10.0,88815.31,212.78,2.11,10.04,263.74,54.9,22.4,42.75,1.56,2.2
AUROPHARMA,345.24,94.34,-2723.5,Aurobindo Pharma Ltd.,2817.84,0.29,32.91,91397.39,1.0,88673.89,58.08,4.42,46.4,52.97,51.8,11.56,10.06,25.88,2.2
MAZDOCK,309.22,14209.63,14209.63,Mazagoan Dock Shipbuilders Ltd.,0.0,0.65,110.31,71526.77,10.0,85736.4,20.17,13.75,38.54,72.03,84.83,50.8,37.86,20.95,2.13
DIXON,234.62,21.82,-82.77,Dixon Technologies (India) Ltd.,104.59,0.03,27.7,84882.59,2.0,84799.82,5.98,60.4,511.64,12.07,33.24,21.15,14.7,8.37,2.11
PRESTIGE,275.2,555.5,-3198.8,Prestige Estates Projects Ltd.,3754.3,0.1,5.25,82457.47,10.0,79258.67,43.07,6.69,350.7,27.9,65.48,6.55,3.65,38.77,1.97
POLICYBZR,147.64,504.22,504.22,PB Fintech Ltd.,0.0,0.0,0.53,78040.2,2.0,78544.42,45.61,11.66,3262.69,148.81,0.0,0.6,0.55,17.79,1.95
KALYANKJIL,41.91,652.3,-1498.87,Kalyan Jewellers India Ltd.,2151.17,0.16,5.72,79686.91,10.0,78188.03,103.12,18.09,132.47,42.14,60.59,16.33,14.17,36.24,1.94
LINDEINDIA,415.6,979.83,979.83,Linde India Ltd.,0.0,0.14,51.56,73066.06,10.0,74045.89,8.53,20.89,168.39,20.43,75.0,17.66,13.03,11.7,1.84
BHARATFORG,189.83,1053.92,-3343.65,Bharat Forge Ltd.,4397.57,0.58,29.7,75952.2,2.0,72608.55,46.56,8.22,52.51,36.3,45.25,17.41,17.52,18.43,1.8
INDIANB,406.96,0,0,Indian Bank,0,2.28,65.02,0,10.0,70877.24,134.7,1.29,8.09,52.66,73.84,16.89,17.1,0,1.76
OBEROIRLTY,370.48,615.9,-1784.44,Oberoi Realty Ltd.,2400.34,0.41,40.96,72377.81,10.0,70593.37,36.36,5.24,47.4,36.67,67.7,13.63,11.9,1.92,1.75
SUPREMEIND,372.73,1186.24,1186.24,Supreme Industries Ltd.,0.0,0.57,83.29,65243.73,2.0,66429.97,12.7,14.03,62.79,32.92,48.85,32.79,24.36,10.14,1.65
NMDC,93.46,12272.95,8916.41,NMDC Ltd.,3356.54,3.21,20.36,57256.67,1.0,66173.08,293.06,2.42,11.09,1.87,60.79,30.41,23.6,20.53,1.64
UNOMINDA,67.91,93.43,-832.07,UNO Minda Ltd.,925.5,0.17,9.99,66881.01,2.0,66048.94,57.42,16.94,115.14,26.6,68.75,18.26,16.62,24.99,1.64
JSL,173.28,1377.63,-2418.08,Jindal Stainless Ltd.,3795.71,0.38,29.67,67477.65,2.0,65059.57,82.34,4.56,26.63,25.65,60.49,22.94,20.13,9.49,1.62
PHOENIXLTD,144.5,3.1,-716.81,Phoenix Mills Ltd.,719.91,0.28,9.09,64782.57,2.0,64065.75,35.75,12.4,197.11,3.51,47.27,6.84,5.68,2.27,1.59
VOLTAS,236.87,504.19,99.59,Voltas Ltd.,404.6,0.29,22.03,63127.52,1.0,63227.11,33.09,8.07,86.76,57.0,30.3,10.41,8.47,13.2,1.57
THERMAX,303.53,346.76,38.96,Thermax Ltd.,307.8,0.23,40.24,61913.38,2.0,61952.34,11.92,17.13,129.19,32.86,61.98,16.59,12.97,13.24,1.54
MRF,40091.08,240.34,-1386.24,MRF Ltd.,1626.58,0.14,4767.7,60404.35,10.0,59018.11,0.42,3.47,29.19,150.05,27.78,17.72,13.19,9.28,1.47
SAIL,131.08,541.6,-35773.37,Steel Authority of India Ltd.,36314.97,1.49,6.28,91217.41,10.0,55444.04,413.05,1.02,21.37,43.62,65.0,7.11,5.14,0.89,1.38
SUNDARMFIN,879.58,0,0,Sundaram Finance Ltd.,0,0.61,133.24,0,10.0,54718.65,11.11,5.6,36.96,33.6,37.86,9.7,16.91,35.44,1.36
BSE,222.88,0,0,BSE Ltd.,0,0.39,30.99,0,2.0,51955.42,13.54,17.22,123.85,351.38,0.0,35.93,29.47,77.3,1.29
SJVN,36.59,2021.18,-7577.41,SJVN Ltd.,9598.59,1.41,2.49,57466.16,10.0,49888.75,392.98,3.47,51.08,33.37,81.85,7.37,6.52,13.69,1.24
ESCORTS,858.97,1164.67,1164.67,Escorts Kubota Ltd.,0.0,0.41,94.47,47175.0,10.0,48339.67,11.05,5.09,46.31,70.87,67.64,15.87,11.77,5.17,1.2
GLAXO,116.57,1061.2,1061.2,Glaxosmithkline Pharmaceuticals Ltd.,0.0,1.17,37.53,45117.19,10.0,46178.39,16.94,23.38,72.63,3.31,75.0,45.85,32.96,5.94,1.15
FORTIS,120.72,119.95,-195.66,Fortis Healthcare Ltd.,315.61,0.17,2.83,45142.09,10.0,44946.43,75.5,4.93,210.62,107.25,31.17,3.51,2.21,12.2,1.12
MAHABANK,27.85,0,0,Bank of Maharashtra,0,2.33,6.31,0,10.0,42615.71,708.14,2.16,9.54,55.84,86.46,18.57,25.06,0,1.06
BDL,98.96,4228.48,4224.14,Bharat Dynamics Ltd.,4.34,0.41,15.77,36774.04,5.0,40998.18,36.66,11.3,70.92,73.98,74.93,24.39,17.99,4.83,1.02
AJANTPHARM,291.7,63.06,63.06,Ajanta Pharmaceuticals Ltd.,0.0,1.58,66.55,40365.37,2.0,40428.43,12.49,11.1,48.64,44.48,66.27,33.15,24.26,16.41,1.0
