Company Name,Industry,Symbol,Series,ISIN Code
A B Cotspin India Ltd.,Textiles,ABCOTS,ST,INE08PH01015
A G Universal Ltd.,Capital Goods,AGUL,SM,INE0O6N01012
ABS Marine Services Ltd.,Services,ABSMARINE,SM,INE0QRV01016
ANI Integrated Services Ltd.,Services,AISL,ST,INE635Y01015
ASL Industries Ltd.,Automobile and Auto Components,ASLIND,SM,INE617I01024
AVP Infracon Ltd.,Construction,AVPINFRA,ST,INE0R9401019
Aatmaj Healthcare Ltd.,Healthcare,AATMAJ,SM,INE0OB201016
Abhishek Integrations Ltd.,Construction,AILIMITED,ST,INE0CAJ01017
Accent Microcell Ltd.,Healthcare,ACCENTMIC,SM,INE0Q5D01013
Accord Synergy Ltd.,Telecommunication,ACCORD,SM,INE113X01015
Addictive Learning Technology Ltd.,Consumer Services,LAWSIKHO,SM,INE0RDH01021
Agarwal Float Glass India Ltd.,Capital Goods,AGARWALFT,SM,INE0MLA01012
Agni Green Power Ltd.,Construction,AGNI,SM,INE0LF301013
Aimtron Electronics Ltd.,Capital Goods,AIMTRON,ST,INE0RUV01018
Akanksha Power and Infrastructure Ltd.,Capital Goods,AKANKSHA,ST,INE0PCY01014
Akiko Global Services Ltd.,Financial Services,AKIKO,SM,INE0PMR01017
All E Technologies Ltd.,Information Technology,ALLETEC,ST,INE0M2X01012
Alpex Solar Ltd.,Capital Goods,ALPEXSOLAR,SM,INE0R4701017
Aluwind Architectural Ltd.,Capital Goods,ALUWIND,ST,INE0STM01017
Ambani Orgochem Ltd.,Chemicals,AMBANIORGO,SM,INE00C501018
Ambey Laboratories Ltd.,Chemicals,AMBEY,SM,INE0M3I01029
Ameya Precision Engineers Ltd.,Capital Goods,AMEYA,ST,INE0KT901015
Amiable Logistics (India) Ltd.,Services,AMIABLE,SM,INE0MTP01013
Anlon Technology Solutions Ltd.,Services,ANLON,SM,INE0LR101013
Annapurna Swadisht Ltd.,Fast Moving Consumer Goods,ANNAPURNA,SM,INE0MGM01017
Arabian Petroleum Ltd.,Oil Gas & Consumable Fuels,ARABIAN,SM,INE08NJ01024
Arham Technologies Ltd.,Consumer Durables,ARHAM,SM,INE0L2Y01011
Arihant Academy Ltd.,Consumer Services,ARIHANTACA,ST,INE0NCC01015
Aristo Bio-Tech and Lifescience Ltd.,Chemicals,ARISTO,ST,INE082101010
Arvind and Company Shipping Agencies Ltd.,Services,ACSAL,ST,INE0P4T01013
Ascom Leasing & Investments Ltd.,Financial Services,ASCOM,ST,INE08KD01015
Aspire & Innovative Advertising Ltd.,Consumer Durables,ASPIRE,ST,INE0S7801010
Atmastco Ltd.,Construction,ATMASTCO,ST,INE05DH01017
Aurangabad Distillery Ltd.,Fast Moving Consumer Goods,AURDIS,SM,INE448V01019
Auro Impex & Chemicals Ltd.,Capital Goods,AUROIMPEX,SM,INE0NUL01018
Australian Premium Solar (India) Limited,Capital Goods,APS,ST,INE0P0001010
BEW Engineering Ltd.,Capital Goods,BEWLTD,SM,INE0HQI01014
Baba Food Processing (India) Ltd.,Fast Moving Consumer Goods,BABAFP,SM,INE0QW501012
Baheti Recycling Industries Ltd.,Capital Goods,BAHETI,ST,INE029Q01017
Basilic Fly Studio Ltd.,Media Entertainment & Publication,BASILIC,ST,INE0OCC01013
Baweja Studios Ltd.,Media Entertainment & Publication,BAWEJA,SM,INE0JFJ01011
Beacon Trusteeship Ltd.,Financial Services,BEACON,SM,INE639X01027
Beta Drugs Ltd.,Healthcare,BETA,SM,INE351Y01019
Blue Pebble Ltd.,Services,BLUEPEBBLE,SM,INE0SAK01011
Bombay Metrics Supply Chain Ltd.,Services,BMETRICS,SM,INE0I3Y01014
C P S Shapers Ltd.,Textiles,CPS,ST,INE0QBU01012
CMM Infraprojects Ltd.,Construction,CMMIPL,SM,INE289S01013
Cadsys (India) Ltd.,Services,CADSYS,ST,INE090Y01013
Canarys Automations Ltd.,Information Technology,CANARYS,SM,INE0QG301017
Cell Point (India) Ltd.,Consumer Services,CELLPOINT,SM,INE0O0001013
Cellecor Gadgets Ltd.,Consumer Durables,CELLECOR,ST,INE0OMO01025
Chaman Metallics Ltd.,Metals & Mining,CMNL,ST,INE06PV01010
Chavda Infra Ltd.,Construction,CHAVDA,SM,INE0PT101017
Committed Cargo Care Ltd.,Services,COMMITTED,SM,INE597Z01014
Continental Seeds and Chemicals Ltd.,Fast Moving Consumer Goods,CONTI,ST,INE340Z01019
Cool Caps Industries Ltd.,Capital Goods,COOLCAPS,ST,INE0HS001010
Crayons Advertising Ltd.,Media Entertainment & Publication,CRAYONS,SM,INE0OFK01019
Creative Graphics Solutions India Ltd.,Capital Goods,CGRAPHICS,SM,INE0R7401011
Crop Life Science Ltd.,Chemicals,CLSL,SM,INE00NH01017
Cyber Media Research & Services Ltd.,Media Entertainment & Publication,CMRSL,SM,INE075Z01011
D.K. Enterprises Global Ltd.,Capital Goods,DKEGL,SM,INE0GN101014
DCG Cables & Wires Ltd.,Capital Goods,DCG,SM,INE0S8401018
DRS Dilip Roadlines Ltd.,Services,DRSDILIP,ST,INE02CV01017
DUDIGITAL GLOBAL LTD.,Consumer Services,DUGLOBAL,SM,INE0HPK01020
De Neers Tools Ltd.,Capital Goods,DENEERS,ST,INE0JWV01011
Deem Roll Tech Ltd.,Capital Goods,DEEM,SM,INE586O01011
Delaplex Ltd.,Information Technology,DELAPLEX,SM,INE0SK801018
Destiny Logistics & Infra Ltd.,Construction,DESTINY,ST,INE0IGO01011
Diensten Tech Ltd.,Services,DTL,SM,INE0JRD01019
Digikore Studios Ltd.,Media Entertainment & Publication,DIGIKORE,SM,INE0QJ901011
Divine Power Energy Ltd.,Capital Goods,DPEL,SM,INE0SCO01019
Docmode Health Technologies Ltd.,Consumer Services,DHTL,ST,INE0OGG01015
Dollex Agrotech Ltd.,Fast Moving Consumer Goods,DOLLEX,SM,INE0JHH01011
Drone Destination Ltd.,Consumer Services,DRONE,ST,INE0P7201019
Ducol Organics And Colours Ltd.,Chemicals,DUCOL,SM,INE0LZO01015
Durlax Top Surface Ltd.,Consumer Durables,DURLAX,SM,INE0OUW01013
Dynamic Services & Security Ltd.,Services,DYNAMIC,ST,INE0DZ701010
E Factor Experiences Ltd.,Consumer Services,EFACTOR,ST,INE0KFF01017
Effwa Infra & Research Ltd.,Utilities,EFFWA,ST,INE0U9101019
Electro Force (India) Ltd.,Capital Goods,EFORCE,SM,INE0Q1W01012
Emkay Taps and Cutting Tools Ltd.,Capital Goods,EMKAYTOOLS,SM,INE332S01011
Energy Mission Machineries (India) Ltd.,Capital Goods,EMMIL,SM,INE0S1L01013
Enfuse Solutions Ltd.,Information Technology,ENFUSE,SM,INE0S3X01014
Enser Communications Ltd.,Information Technology,ENSER,ST,INE0R9I01013
Esconet Technologies Ltd.,Information Technology,ESCONET,ST,INE0RQZ01017
Essen Speciality Films Ltd.,Consumer Durables,ESFL,ST,INE0ITO01014
Euro Panel Products Ltd.,Capital Goods,EUROBOND,SM,INE505V01016
Falcon Technoprojects India Ltd.,Services,FALCONTECH,SM,INE0PQK01013
Felix Industries Ltd.,Utilities,FELIX,ST,INE901X01013
Fidel Softech Ltd.,Information Technology,FIDEL,SM,INE0LQQ01019
Foce India Ltd.,Consumer Durables,FOCE,ST,INE0I7D01019
Fonebox Retail Ltd.,Consumer Services,FONEBOX,SM,INE0Q4701019
Frog Cellsat Ltd.,Telecommunication,FROG,SM,INE385O01018
