Company Symbol,Book Value (TTM),CASH,Cash/Debt,Company Name,DEBT,Div. Yield,EPS (TTM),Enterprise Value,Face Value,Market Cap,No. of Shares,P/B,P/E,Profit Growth,Promoter Holding,ROCE,ROE,Sales Growth,Weightage
NPST,36.57,58.41,58.27,Network People Services Technologies Ltd.,0.14,0.0,13.78,6517.36,10.0,6575.63,1.94,92.75,246.21,309.55,67.55,81.91,63.7,212.63,6.27
ORIANA,154.11,0.03,-14.86,Oriana Power Ltd.,14.89,0.0,27.13,4464.35,10.0,4449.49,2.03,14.21,80.7,82.38,61.41,50.47,47.0,31.91,4.24
JSLL,77.33,62.01,61.47,Jeena Sikho Lifecare Ltd.,0.54,0.29,27.84,3509.94,10.0,3571.41,2.49,18.58,51.61,105.09,67.91,59.08,43.52,59.1,3.41
SPECTRUM,108.53,7.75,-75.86,Spectrum Electrical Industries Ltd.,83.61,0.0,12.47,2845.95,10.0,2770.09,1.56,16.35,142.39,10.06,72.53,11.35,9.6,0.83,2.64
KODYTECH,190.31,8.14,7.14,Kody Technolab Ltd.,1.0,0.0,6.91,2423.56,10.0,2430.7,0.71,18.07,497.21,67.48,73.01,28.44,23.4,105.04,2.32
ALPEXSOLAR,51.41,12.02,-27.78,Alpex Solar Ltd.,39.8,0.0,11.87,2353.74,10.0,2325.95,2.45,18.49,80.06,5206.23,68.76,15.33,10.01,19.64,2.22
BETA,120.67,17.79,11.84,Beta Drugs Ltd.,5.95,0.0,22.82,1725.18,10.0,1737.02,0.96,14.97,79.18,32.08,66.73,27.93,21.66,26.45,1.66
SOLEX,127.93,0.13,-65.81,Solex Energy Ltd.,65.94,0.03,10.11,1600.2,10.0,1534.39,0.86,13.88,175.7,174.39,70.66,11.98,7.46,124.85,1.46
REMUS,146.78,3.04,-4.9,Remus Pharmaceuticals Ltd.,7.94,0.08,28.55,1530.93,10.0,1526.03,0.59,17.65,90.73,147.6,70.6,68.82,66.14,82.27,1.46
SARTELE,135.77,0.61,-177.26,Sar Televenture Ltd.,177.87,0.0,0.29,1571.03,2.0,1393.77,3.71,2.76,1307.49,35.33,66.26,1.38,3.37,0.31,1.33
BASILIC,41.29,5.36,1.09,Basilic Fly Studio Ltd.,4.27,0.0,15.58,1385.18,10.0,1386.27,2.32,14.45,38.3,3230.89,59.9,170.72,155.63,194.12,1.32
TECHLABS,26.19,1.87,-21.13,Trident Techlabs Ltd.,23.0,0.0,5.42,1249.12,10.0,1227.99,1.73,27.13,131.1,736.66,67.97,23.56,33.02,126.43,1.17
VINYAS,97.67,4.46,-81.25,Vinyas Innovative Technologies Ltd.,85.71,0.02,12.19,1267.36,10.0,1186.11,1.26,9.65,77.29,627.93,29.38,17.73,20.99,12.89,1.13
SAHANA,76.85,0.11,-4.66,Sahana System Ltd.,4.77,0.0,18.26,1130.72,10.0,1126.06,0.82,17.79,74.89,353.07,62.88,75.39,83.52,98.31,1.07
DYNAMIC,37.68,7.19,-11.2,Dynamic Services & Security Ltd.,18.39,0.0,2.16,1078.6,10.0,1067.41,3.96,7.15,124.65,348.12,64.7,21.01,19.21,2.24,1.02
INNOVANA,54.71,1.09,0.78,Innovana Thinklabs Ltd.,0.31,0.05,14.37,1044.72,10.0,1045.5,2.05,9.32,35.49,52.68,73.23,35.61,26.61,37.41,1.0
KRISHNADEF,73.69,44.16,34.73,Krishna Defence and Allied Industries Ltd.,9.43,0.0,6.96,987.22,10.0,1021.95,1.41,9.86,104.39,84.85,68.33,17.0,14.47,67.2,0.97
APS,28.91,2.19,-0.03,Australian Premium Solar (India) Limited,2.22,0.0,3.12,1011.11,10.0,1011.08,1.97,17.72,164.32,23.27,73.64,32.0,26.05,3.63,0.96
VMARCIND,46.75,0.28,-140.22,V Marc India Ltd.,140.5,0.0,11.79,1151.22,10.0,1011.0,2.28,9.49,37.65,157.08,69.96,28.87,28.84,128.37,0.96
EMKAYTOOLS,280.1,3.75,-2.73,Emkay Taps and Cutting Tools Ltd.,6.48,0.0,67.38,1011.17,10.0,1008.44,1.07,3.37,14.03,62.93,74.99,33.65,27.4,16.74,0.96
KOTYARK,104.32,0.06,-13.6,Kotyark Industries Ltd.,13.66,0.8,21.64,966.31,10.0,952.72,1.03,8.88,42.83,32.7,67.65,33.63,27.5,27.23,0.91
ALLETEC,56.16,86.63,86.63,All E Technologies Ltd.,0.0,0.22,8.44,866.03,10.0,952.66,2.02,8.4,55.9,37.14,50.05,19.8,15.15,20.47,0.91
GIRIRAJ,51.2,14.78,-5.1,Giriraj Civil Developers Ltd.,19.88,0.0,4.23,957.14,10.0,952.04,2.39,7.77,94.06,18.81,51.1,12.12,9.53,14.51,0.91
CELLECOR,4.53,0.16,-20.68,Cellecor Gadgets Ltd.,20.84,0.0,0.77,964.23,1.0,943.55,20.97,9.94,58.62,273.23,51.54,66.84,99.48,117.95,0.9
VISHNUINFR,46.5,2.87,-33.38,Vishnusurya Projects and Infra Ltd.,36.25,0.58,11.21,964.73,10.0,931.35,2.46,8.14,33.77,19.56,62.24,32.21,37.64,73.13,0.89
TAC,42.09,2.87,2.51,TAC Infosec Ltd.,0.36,0.0,6.04,906.7,10.0,909.21,1.05,20.61,143.64,735.05,-999.999,89.77,98.62,95.72,0.87
KDL,190.83,0.06,-1.99,Kore Digital Ltd.,2.05,0.0,28.68,908.33,10.0,906.35,0.4,11.85,78.86,47.81,62.69,85.7,77.97,25.59,0.86
DENTALKART,14.0,1.48,0.46,Vasa Denticity Ltd.,1.02,0.0,9.41,895.33,10.0,895.79,1.6,39.96,59.41,52.14,69.62,80.11,70.53,60.25,0.85
SJLOGISTIC,67.76,0.86,-28.85,S J Logistics (India) Ltd.,29.71,0.0,6.95,909.06,10.0,880.21,1.45,8.97,87.39,36.38,49.64,11.99,11.68,3.94,0.84
TIRUPATI,63.26,0.58,-46.99,Shree Tirupati Balajee FIBC Ltd.,47.57,0.0,13.93,857.9,10.0,810.91,1.01,12.65,57.48,33.89,63.85,13.43,15.78,10.88,0.77
ANNAPURNA,61.53,7.2,-16.91,Annapurna Swadisht Ltd.,24.11,0.0,7.82,824.09,10.0,807.18,1.82,7.21,56.77,1189.84,48.67,23.42,23.65,1253.51,0.77
WTICAB,62.79,12.34,-14.07,Wise Travel India Ltd.,26.41,0.0,10.15,788.79,10.0,774.72,2.38,5.18,32.04,172.5,69.76,31.05,29.86,181.64,0.74
RBMINFRA,92.67,0.52,-7.59,RBM Infracon Ltd.,8.11,0.0,10.98,777.74,10.0,770.15,1.01,8.23,69.42,8.92,72.45,19.88,18.49,74.98,0.73
TGL,46.07,5.33,1.41,Teerth Gopicon Ltd.,3.92,0.0,9.63,766.51,10.0,767.91,1.2,13.89,66.43,1073.67,-999.999,17.39,25.64,25.37,0.73
FOCE,72.49,0.51,-25.87,Foce India Ltd.,26.38,0.0,0.99,762.74,10.0,736.87,0.49,20.78,1516.16,95.22,73.63,1.47,0.53,90.23,0.7
PASHUPATI,79.1,2.5,-170.79,Pashupati Cotspin Ltd.,173.29,0.15,5.43,903.27,10.0,732.49,1.53,6.06,88.21,63.08,73.03,5.59,3.74,33.06,0.7
KORE,48.93,10.14,-9.65,Jay Jalaram Technologies Ltd.,19.79,0.0,4.1,731.64,10.0,722.0,1.19,12.42,148.47,195.65,73.05,17.32,14.61,50.8,0.69
MOS,30.3,1.35,-6.45,Mos Utility Ltd.,7.8,0.0,4.2,710.76,10.0,704.31,2.49,9.32,67.19,72.58,64.67,31.09,31.97,37.24,0.67
MEGATHERM,63.87,60.61,24.45,Megatherm Induction Ltd.,36.16,0.0,11.0,636.29,10.0,660.74,1.88,5.49,31.88,47.98,72.71,27.03,24.24,15.18,0.63
ESFL,70.27,5.35,-1.22,Essen Speciality Films Ltd.,6.57,0.0,6.28,650.24,10.0,649.02,2.07,4.46,49.93,158.7,70.1,17.8,16.94,1.0,0.62
ATMASTCO,46.12,48.69,-22.57,Atmastco Ltd.,71.26,0.0,6.75,660.35,10.0,637.78,2.47,5.59,38.18,295.58,68.43,25.5,26.2,158.46,0.61
DRONE,25.36,21.42,17.45,Drone Destination Ltd.,3.97,0.0,2.91,595.28,10.0,612.72,2.43,9.94,86.51,176.39,61.3,23.26,17.88,163.59,0.58
HIGREEN,29.75,0.09,-13.53,Hi-Green Carbon Ltd.,13.62,0.0,4.11,625.29,10.0,611.76,2.5,8.23,59.53,194.82,71.86,54.31,63.19,53.65,0.58
TRUST,41.75,1.13,1.09,Trust Fintech Ltd.,0.04,0.0,5.25,606.97,10.0,608.14,2.38,6.11,48.65,200.92,93.51,30.85,23.42,27.85,0.58
SUPREMEPWR,33.97,0.06,-8.03,Supreme Power Equipment Ltd.,8.09,0.0,5.6,601.57,10.0,593.54,2.5,6.99,42.39,1988.96,56.56,71.05,85.59,62.07,0.57
ACCENTMIC,77.86,72.49,59.7,Accent Microcell Ltd.,12.79,0.37,14.34,525.19,10.0,584.89,2.1,3.57,19.39,146.63,55.09,30.16,28.17,24.45,0.56
SHREEKARNI,45.38,0.36,-36.23,Shree Karni Fabcom Ltd.,36.59,0.0,18.4,617.69,10.0,581.46,0.71,18.12,44.69,7.85,70.7,26.63,28.3,51.9,0.55
KNAGRI,113.8,17.51,-61.8,KN Agri Resources Ltd.,79.31,0.0,12.5,636.77,10.0,574.97,2.5,2.02,18.39,37.76,73.66,15.56,10.89,18.88,0.55
KRISHIVAL,54.83,6.02,-0.37,Krishival Foods Ltd.,6.39,0.08,4.38,567.77,10.0,567.41,2.23,4.64,58.11,44.32,37.19,13.1,11.42,46.53,0.54
RMDRIP,20.25,0.06,-7.5,R M Drip and Sprinklers Systems Ltd.,7.56,0.0,2.17,568.29,10.0,560.8,2.5,11.08,103.66,103.07,13.86,5.1,0.23,38.86,0.53
