Symbol,Name,Sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,IT
HDFCBANK.NS,HDFC Bank,Banking
ICICIBANK.NS,ICICI Bank,Banking
INFY.NS,Infosys,IT
BHARTIARTL.NS,Bharti Airtel,Telecom
KOTAKBANK.NS,Kotak Mahindra Bank,Banking
HINDUNILVR.NS,Hindustan Unilever,FMCG
ITC.NS,ITC,FMCG
SBIN.NS,State Bank of India,Banking
AXISBANK.NS,Axis Bank,Banking
ASIANPAINT.NS,Asian Paints,Paints
MARUTI.NS,Maruti Suzuki,Auto
HCLTECH.NS,HCL Technologies,IT
BAJFINANCE.NS,Bajaj Finance,Finance
WIPRO.NS,Wipro,IT
TITAN.NS,Titan Company,Consumer Goods
SUNPHARMA.NS,Sun Pharmaceutical,Healthcare
TATAMOTORS.NS,Tata Motors,Auto
ADANIPORTS.NS,Adani Ports,Infrastructure
LT.NS,Larsen & Toubro,Construction
ULTRACEMCO.NS,UltraTech Cement,Cement
BAJAJFINSV.NS,Bajaj Finserv,Financial Services
JSWSTEEL.NS,JSW Steel,Metal
NESTLEIND.NS,Nestle India,FMCG
TATASTEEL.NS,Tata Steel,Metal
TECHM.NS,Tech Mahindra,IT
SHREECEM.NS,Shree Cement,Cement
POWERGRID.NS,Power Grid Corporation,Power
ONGC.NS,Oil and Natural Gas Corporation,Oil & Gas
GRASIM.NS,Grasim Industries,Diversified
NTPC.NS,NTPC,Power
M&M.NS,Mahindra & Mahindra,Auto
DIVISLAB.NS,Divi's Laboratories,Healthcare
CIPLA.NS,Cipla,Healthcare
EICHERMOT.NS,Eicher Motors,Auto
DRREDDY.NS,Dr. Reddy's Laboratories,Healthcare
HEROMOTOCO.NS,Hero MotoCorp,Auto
COALINDIA.NS,Coal India,Mining
BAJAJ-AUTO.NS,Bajaj Auto,Auto
INDUSINDBK.NS,IndusInd Bank,Banking
IOC.NS,Indian Oil Corporation,Oil & Gas
HINDALCO.NS,Hindalco Industries,Metal
UPL.NS,UPL,Chemicals
BPCL.NS,Bharat Petroleum,Oil & Gas
TATACONSUM.NS,Tata Consumer Products,FMCG
BRITANNIA.NS,Britannia Industries,FMCG
ADANIENT.NS,Adani Enterprises,Infrastructure
HDFCLIFE.NS,HDFC Life Insurance,Insurance
SBILIFE.NS,SBI Life Insurance,Insurance
APOLLOHOSP.NS,Apollo Hospitals,Healthcare
PIDILITIND.NS,Pidilite Industries,Chemicals
HAVELLS.NS,Havells India,Consumer Durables
BERGEPAINT.NS,Berger Paints,Paints
DABUR.NS,Dabur India,FMCG
BANDHANBNK.NS,Bandhan Bank,Banking
NAUKRI.NS,Info Edge,Internet
PNB.NS,Punjab National Bank,Banking
BANKBARODA.NS,Bank of Baroda,Banking
NMDC.NS,NMDC,Mining
INDUSTOWER.NS,Indus Towers,Telecom
